sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
569,2018-03-01T18:55:00Z,NA,NA,SFC,8,5.41,1.7,0.17,0,0,0.018,0.024,0.97,2018-03-01T19:00:00Z,21,0.315,0,0.091,0.0375,0.026000000000000002,3.3649999999999998,1774254,1.1877,3.3527097505668935,1.3781287481291944,1.27,5.52,50241279.057137996,0.0038966536680000003,0.0388758843983567,0.10023318384403657,161236.126818,5035848,50.78937994767,0,14.672487540437999,6.046354755674999,4.1921392972680005,542.5595667425699,0.05078937994767,0,0.014672487540437998,0.0060463547556749994,0.004192139297268,0.5425595667425699,1.1978627346148585e-4,0,3.460492344442924e-5,1.4260270650176886e-5,9.887120984122642e-6,0.0012796216196758723
620,2018-03-07T22:00:00Z,NA,NA,SFC,186,7.09,3.52,0.03,0.03,0.001,0.004,0.028,2.56,2018-03-07T22:00:00Z,22,0.1,0.015,5e-4,0.011,0.026000000000000002,1.7650000000000001,774,0,1.29,NaN,1.29,1.29,21917.239578,0,1.695920343103529e-5,0,50241279.057137996,0,5024.127905713799,753.61918585707,25.120639528568997,552.654069628518,1306.273255485588,88675.85753584857,5.024127905713799,0.7536191858570699,0.025120639528568998,0.5526540696285179,1.306273255485588,88.67585753584858,0.011849358268192922,0.0017774037402289384,5.9246791340964614e-5,0.0013034294095012216,0.0030808331497301604,0.20914117343360514
594,2018-03-07T22:13:00Z,NA,NA,SFC,23,5.26,1.5,0.13,0.01,0,0.011,0.019,0.83,2018-03-07T22:10:00Z,23,0.08,0.02,5e-4,0.0075,0.0235,1.695,1121023.8,2.5203,1.6331931818181817,1.082429793329009,0.743,8.47,31743859.4279586,0.008268701052000001,0.024562882009343954,0.33663399306541103,21917.239578,10686072.000000002,1.7533791662400002,0.43834479156000006,0.010958619789,0.164379296835,0.515055130083,37.14972108471,0.00175337916624,4.3834479156e-4,1.0958619789e-5,1.64379296835e-4,5.15055130083e-4,0.03714972108471,4.135328222264151e-6,1.0338320555660377e-6,2.5845801389150942e-8,3.8768702083726416e-7,1.2147526652900943e-6,8.76172667092217e-5
659,2018-03-15T21:50:00Z,NA,NA,SFC,132,6.96,16.5,0.14,0.03,0,0.027,0.038,4.43,2018-03-15T21:50:00Z,24,0.135,0.02,0,0.019,0.028499999999999998,2.63,5202,0,8.67,NaN,8.67,8.67,147304.238094,0,1.139816230597488e-4,0,31743859.4279586,0,4285.4210227744115,634.8771885591719,0,603.1333291312134,904.69999369682,83486.35029553111,4.285421022774411,0.634877188559172,0,0.6031333291312133,0.90469999369682,83.48635029553111,0.010107125053713233,0.0014973518598093679,0,0.0014224842668188993,0.002133726400228349,0.19690176956493186
660,2018-03-15T21:55:00Z,NA,NA,SFC,11,5.27,1.28,0,0.02,0,0,0.028,0.83,2018-03-15T22:00:00Z,25,0.07,0.025,0,0.0135,0.033,2.63,1152852,0.65,14.128088235294118,1.9949950393351044,8.88,16.2,32645133.697644,0.0021325460000000004,0.025260273377100642,0.08442291847614092,147304.238094,2756000,10.31129666658,3.6826059523500003,0,1.988607214269,4.861039857102001,387.41014618722,0.01031129666658,0.0036826059523500003,0,0.001988607214269,0.004861039857102001,0.38741014618722003,2.4319095911745284e-5,8.685391397051888e-6,0,4.690111354408019e-6,1.1464716644108493e-5,9.137031749698586e-4
678,2018-03-16T20:40:00Z,NA,NA,SFC,116,7.14,32.2,0.25,0.02,0.175,0.048,0.047,3.34,2018-03-16T20:40:00Z,26,0.125,0.02,0.0875,0.024,0.0375,2.085,2183772,0.22,6.2860449050086356,3.764221118337475,2.31,15.5,61837537.606883995,7.217848e-4,0.04784888061369354,0.015084674724729871,32645133.697644,932800,4080.6417122055,652.9026739528799,2856.44919854385,783.483208743456,1224.19251366165,68065.10375958773,4.0806417122055,0.6529026739528799,2.85644919854385,0.7834832087434559,1.22419251366165,68.06510375958773,0.009624154981616746,0.001539864797058679,0.006736908487131721,0.001847837756470415,0.0028872464944850237,0.1605309050933673
668,2018-03-20T21:05:00Z,NA,NA,SFC,145,7.05,9.01,0.05,0.03,0,0.01,0.033,2.09,2018-03-20T21:10:00Z,27,0.15,0.025,0.0875,0.029,0.04,2.715,2796,0,2.33,0.014142135623730963,2.32,2.34,79173.904212,0,6.126347906094918e-5,0,61837537.606883995,0,9275.6306410326,1545.9384401721,5410.78454060235,1793.2885905996359,2473.50150427536,167888.91460269003,9.275630641032599,1.5459384401721,5.41078454060235,1.7932885905996359,2.47350150427536,167.88891460269005,0.021876487360925942,0.00364608122682099,0.012761284293873467,0.004229454223112349,0.005833729962913585,0.39596442123275954
670,2018-03-20T21:30:00Z,NA,NA,SFC,18,5.37,0.74,0,0.03,0,0.001,0.019,0.45,2018-03-20T21:30:00Z,28,0.025,0.03,0,0.0055,0.026000000000000002,1.27,4049070,2.37,5.873324630113141,4.2981441684298,2.2,17.2,114656895.68229,0.007775590800000001,0.08871964061563574,0.08764227115939928,79173.904212,10048800,1.9793476052999999,2.37521712636,0,0.43545647316599995,2.0585215095120004,100.55085834923999,0.0019793476053,0.00237521712636,0,4.3545647316599995e-4,0.002058521509512,0.10055085834923999,4.668272654009434e-6,5.60192718481132e-6,0,1.0270199838820754e-6,4.855003560169812e-6,2.3714825082367922e-4
686,2018-03-28T21:01:00Z,NA,NA,SFC,133,7.03,5.92,0.05,0.01,0.005,0.007,0.028,2.17,2018-03-28T21:00:00Z,29,0.025,0.02,0.0025,0.004,0.0235,1.31,3234,0,2.6950000000000003,0.007071067811865638,2.69,2.7,91576.683198,0,7.086054766920947e-5,0,114656895.68229,0,2866.4223920572504,2293.1379136458004,286.64223920572505,458.62758272916005,2694.437048533815,150200.5333437999,2.8664223920572502,2.2931379136458,0.286642239205725,0.45862758272916004,2.694437048533815,150.20053334379992,0.006760430169946345,0.005408344135957076,6.760430169946345e-4,0.0010816688271914152,0.006354804359749564,0.3542465409051885
684,2018-03-28T21:15:00Z,NA,NA,SFC,18,5.61,0.66,0.05,0.03,0.021,0,0.042,0.34,2018-03-28T21:20:00Z,30,0.05,0.02,0.013000000000000001,0.0035,0.035,1.255,820993.2,0,1.223901610017889,0.5163272101904761,0.673,2.69,23247938.8324404,0,0.017988876866016332,0,91576.683198,0,4.5788341599,1.83153366396,1.190496881574,0.320518391193,3.2051839119300003,114.92873741348998,0.004578834159900001,0.00183153366396,0.001190496881574,3.2051839119300003e-4,0.00320518391193,0.11492873741348998,1.0799137169575473e-5,4.319654867830189e-6,2.8077756640896227e-6,7.559396018702831e-7,7.55939601870283e-6,2.710583429563443e-4
