subws,period,season,segment,start_date,end_date
zie,fell_period,storm_events,1,,
zie,yard_period,storm_events,1,,
zie,fell_and_yard_period,storm_events,1,,
zie,pre_fell,storm_events,1,,
zie,post_fell,storm_events,1,,
zie,pre_yard,storm_events,1,,
zie,post_yard,storm_events,1,,
sfc,alltime,storm_events,1,,
sfc,HY17,storm_events,1,,
sfc,HY18,storm_events,1,,
sfc,HY19,storm_events,1,,
sfc,HY20,storm_events,1,,
sfc,fell_period,storm_events,1,,
sfc,yard_period,storm_events,1,,
sfc,fell_and_yard_period,storm_events,1,,
sfc,pre_fell,storm_events,1,,
sfc,post_fell,storm_events,1,,
sfc,pre_yard,storm_events,1,,
sfc,post_yard,storm_events,1,,
que,alltime,storm_events,1,,
que,HY17,storm_events,1,,
que,HY18,storm_events,1,,
que,HY19,storm_events,1,,
que,HY20,storm_events,1,,
que,fell_period,storm_events,1,,
que,yard_period,storm_events,1,,
que,fell_and_yard_period,storm_events,1,,
que,pre_fell,storm_events,1,,
que,post_fell,storm_events,1,,
que,pre_yard,storm_events,1,,
que,post_yard,storm_events,1,,
