sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
74,11/10/2016 0:00,3 Zi  07,SF,ZIE,129,7.77,16.1,0.28,0.01,0,0.046,0.002,6.5
75,11/10/2016 0:00,3 Zi  08,SF,ZIE,128,7.66,10.2,0.23,0,0,0.042,0.013,4.83
76,11/10/2016 0:00,4 Se 01,SF,SEQ,193,8.21,21.9,0.39,0,0.14,0.049,0.002,7.05
77,11/10/2016 0:00,5 Qj  03,,,149,8.16,19.1,0.73,0,0.38,0.122,0.016,8.61
78,11/10/2016 0:00,5  Po  06,SF,POR,117,8.05,84.2,0.51,0,0.01,0.302,0.016,12.26
79,11/10/2016 0:00,5  Po  07,SF,POR,114,7.45,158,0.65,0,0,0.498,0.012,16.45
80,11/10/2016 0:00,5  Po  09,SF,POR,119,7.7,50.9,0.48,0,0.01,0.238,0.007,15.97
81,11/10/2016 0:00,5  Po  10,SF,POR,126,7.5,39.3,0.41,0,0,0.116,0.006,12.65
82,11/10/2016 0:00,5  Po  12,SF,POR,135,7.5,17.3,0.25,0,0,0.055,0.006,7.55
83,11/10/2016 0:00,5  Ri  01,SF,RIC,154,7.51,37.3,0.95,0,0.13,0.305,0.006,11.12
84,11/10/2016 0:00,5  Ri  02,SF,RIC,153,7.58,23.6,0.57,0,0.21,0.192,0.009,9.65
85,11/10/2016 0:00,5  Ri  04,SF,RIC,148,7.78,10.8,0.73,0,0.36,0.075,0.009,8.21
86,11/10/2016 0:00,5 Wi  01,SF,WIL,182,8.12,21.8,0.29,0,0.01,0.062,0.013,6.4
87,11/10/2016 0:00,5 Wi  02,SF,WIL,185,8.32,11.7,0.24,0,0,0.042,0.01,4.7
88,11/10/2016 0:00,5  Tr  01,SF,TRE,140,8.06,19.9,0.26,0,0,0.078,0.015,8.25
89,11/10/2016 0:00,5  Tr  02,SF,TRE,136,8.01,15.7,0.27,0,0,0.071,0.01,5.46
90,11/10/2016 0:00,5  Tr  03,SF,TRE,136,7.88,12.2,0.44,0,0,0.078,0.025,4.76
91,11/10/2016 0:00,5  Tr  04,SF,TRE,134,7.93,7.93,0.23,0,0,0.026,0.005,3.44
92,11/10/2016 0:00,05  Og  06,SF,OGI,828,2.7,39.9,0.57,0.01,0,0.307,0.055,10.25
93,11/10/2016 0:00,05  Og  07,SF,OGI,842,2.75,72.3,0.62,0.01,0,0.371,0.033,13.73
94,11/10/2016 0:00,05  Og  09,SF,OGI,990,2.62,38.3,0.55,0.01,0,0.207,0.034,14.62
95,11/10/2016 0:00,05  Og  011,SF,OGI,955,2.58,20.4,0.29,0.03,0.01,0.065,0.018,11.38
96,11/10/2016 0:00,05  Og  012,SF,OGI,1029,2.55,13.6,0.32,0.04,0,0.068,0.013,8.57
97,12/10/2016 7:00,D 9 W 106,SF,WIL,121,7.84,26.6,0.22,0.02,0.02,0.052,0.014,2.63
98,12/10/2016 11:30,D 8 TP 05,SF,TRE,99,7.6,30.7,0.3,0.04,0.04,0.067,0.009,2.95
99,12/10/2016 13:30,D 6 ZI 05,SF,ZIE,84,7.25,39.8,0.33,0.04,0.04,0.064,0.006,3.75
100,12/11/2016 1:40,D 5 UQ 07,SF,UQL,99,7.3,29.9,0.28,0,0.02,0.042,0.004,3.13
101,12/11/2016 14:00,D 5 UQ 09,SF,UQL,93,7.31,25.1,0.3,0.06,0.02,0.039,0.003,2.57
102,12/11/2016 14:00,D 6 ZI 12,SF,ZIE,97,7.43,22.6,0.19,0,0.02,0.033,0.003,2.06
103,12/11/2016 19:20,D 9 WI 11,SF,WIL,116,7.43,17.2,0.2,0.06,0.02,0.036,0.009,1.77
104,12/11/2016 12:20,D 8 TR 11,SF,TRE,110,7.44,18.5,0.16,0.02,0.02,0.036,0.007,1.64
105,12/16/2016 12:20,D 9 TR 12,SF,TRE,104,7.35,16.1,0.18,0.03,0.02,0.039,0.011,1.72
106,12/14/2016 18:00,DW 01,SF,WIL,150,7.43,9.32,0.27,0.16,0.02,0.039,0.014,1.94
107,12/14/2016 19:30,DW 02,SF,WIL,147,7.6,10.3,0.16,0.02,0.02,0.033,0.009,2.03
108,12/15/2016 3:00,DW 07,SF,WIL,135,7.59,18.8,0.28,0,0.02,0.1,0.043,3.87
109,12/15/2016 7:00,DZ 10,SF,ZIE,80,7.58,37.9,0.37,0.02,0.04,0.079,0.001,5.5
110,12/15/2016 11:20,D 6 UQ 05,SF,UQL,90,7.48,31.2,0.35,0.03,0.02,0.049,0.003,4.47
111,12/15/2016 9:00,DW 11,SF,WIL,109,7.41,48.2,0.35,0.02,0.04,0.121,0.012,4.77
112,12/15/2016 12:00,D 9 TR 05,SF,TRE,93,7.42,51.9,0.3,0,0.02,0.109,0.007,3.29
113,12/15/2016 19:30,DZ 18,SF,ZIE,84,7.47,31.2,0.24,0,0.02,0.055,0.001,3.37
114,12/15/2016 12:00,DZ 13,SF,ZIE,82,7.38,51.8,0.33,0.03,0.03,0.088,0.004,4.21
115,12/15/2016 15:00,DW 15,SF,WIL,104,7.4,41,0.31,0,0.04,0.091,0.009,3.99
116,12/15/2016 15:00,DZ 15,SF,ZIE,79,7.34,45.6,0.35,0.01,0.03,0.082,0.001,4.03
117,12/15/2016 21:00,DZ 19,SF,ZIE,103,7.27,20.4,0.22,0.02,0.02,0.049,0.009,3.29
118,12/16/2016 10:23,DZ 01,SF,ZIE,98,7.31,22.6,0.24,0.01,0.06,0.039,0.001,2.4
119,12/16/2016 11:50,D 6 UQ 09,SF,UQL,96,7.38,23.5,0.22,0.04,0.02,0.033,0.003,2.81
120,1/3/2017 20:50,7 UQ 01,SF,UQL,94,7.63,44.7,0.09,0,0,0.03,0.001,6.04
121,1/4/2017 5:00,7 UQ 02,SF,UQL,100,7.56,41.4,0.09,0,0,0.044,0,4.76
122,1/4/2017 13:10,7 UQ 03,SF,UQL,101,7.54,37.9,0.09,0.01,0,0.044,0.001,3.85
123,1/5/2017 3:10,7 UQ 05,SF,UQL,106,7.51,30.4,0.13,0.1,0,0.03,0.004,3.31
